-nan -nan -nan
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.357416 -17.552 0.206354
0.616908 -0.677025 0.401324
0.357416 -17.552 0.206354
0.333867 -17.552 0.242552
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.333867 -17.552 0.242552
0.571509 -0.67699 0.463748
0.333867 -17.552 0.242552
0.306648 -17.552 0.276097
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.306648 -17.552 0.276097
0.520438 -0.67697 0.520438
0.306648 -17.552 0.276097
0.276097 -17.552 0.306648
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.276097 -17.552 0.306648
0.463748 -0.67699 0.57151
0.276097 -17.552 0.306648
0.242552 -17.552 0.333867
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.242552 -17.552 0.333867
0.401324 -0.677025 0.616908
0.242552 -17.552 0.333867
0.206354 -17.552 0.357416
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.206354 -17.552 0.357416
0.333596 -0.677025 0.656011
0.206354 -17.552 0.357416
0.167861 -17.552 0.37699
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.167861 -17.552 0.37699
0.263065 -0.67699 0.687373
0.167861 -17.552 0.37699
0.127516 -17.552 0.39243
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.127516 -17.552 0.39243
0.190494 -0.67697 0.710932
0.127516 -17.552 0.39243
0.0857827 -17.552 0.403613
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.0857827 -17.552 0.403613
0.115862 -0.676989 0.726816
0.0857827 -17.552 0.403613
0.0431228 -17.552 0.410413
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0.0431228 -17.552 0.410413
0.0391021 -0.677025 0.73492
0.0431228 -17.552 0.410413
0 -17.552 0.412708
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
0 -17.552 0.412708
-0.0391021 -0.677025 0.73492
0 -17.552 0.412708
-0.0431228 -17.552 0.410413
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.0431228 -17.552 0.410413
-0.115862 -0.67699 0.726816
-0.0431228 -17.552 0.410413
-0.0857827 -17.552 0.403613
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.0857827 -17.552 0.403613
-0.190493 -0.67697 0.710932
-0.0857827 -17.552 0.403613
-0.127516 -17.552 0.392431
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.127516 -17.552 0.392431
-0.263066 -0.67699 0.687373
-0.127516 -17.552 0.392431
-0.167861 -17.552 0.37699
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.167861 -17.552 0.37699
-0.333596 -0.677025 0.656011
-0.167861 -17.552 0.37699
-0.206354 -17.552 0.357416
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.206354 -17.552 0.357416
-0.401324 -0.677025 0.616908
-0.206354 -17.552 0.357416
-0.242552 -17.552 0.333867
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.242552 -17.552 0.333867
-0.463748 -0.67699 0.571509
-0.242552 -17.552 0.333867
-0.276097 -17.552 0.306648
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.276097 -17.552 0.306648
-0.520438 -0.67697 0.520438
-0.276097 -17.552 0.306648
-0.306648 -17.552 0.276097
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.306648 -17.552 0.276097
-0.57151 -0.67699 0.463748
-0.306648 -17.552 0.276097
-0.333867 -17.552 0.242552
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.333867 -17.552 0.242552
-0.616908 -0.677025 0.401324
-0.333867 -17.552 0.242552
-0.357416 -17.552 0.206354
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.357416 -17.552 0.206354
-0.656011 -0.677025 0.333596
-0.357416 -17.552 0.206354
-0.37699 -17.552 0.167861
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.37699 -17.552 0.167861
-0.687373 -0.67699 0.263065
-0.37699 -17.552 0.167861
-0.39243 -17.552 0.127516
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.39243 -17.552 0.127516
-0.710932 -0.67697 0.190494
-0.39243 -17.552 0.127516
-0.403613 -17.552 0.0857827
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.403613 -17.552 0.0857827
-0.726816 -0.676989 0.115862
-0.403613 -17.552 0.0857827
-0.410413 -17.552 0.0431228
0 -18 0
-nan -nan -nan
0 -18 0
0 -18 0
-0.410413 -17.552 0.0431228
